CA: ['3', ' 195', ' 150', ' 68'] : 000
CA: ['3', ' 195', ' 150', ' 80'] : 000
CA: ['3', ' 195', ' 153', ' 5'] : 000
CA: ['3', ' 195', ' 153', ' 17'] : 000
CA: ['3', ' 195', ' 153', ' 68'] : 000
CA: ['3', ' 195', ' 153', ' 80'] : 000
CA: ['3', ' 195', ' 53', ' 20'] : 000
CA: ['3', ' 195', ' 53', ' 65'] : 000
CA: ['3', ' 195', ' 58', ' 20'] : 000
CA: ['3', ' 195', ' 58', ' 65'] : 000
CA: ['3', ' 195', ' 83', ' 20'] : 000
CA: ['3', ' 195', ' 83', ' 65'] : 000
CA: ['3', ' 195', ' 92', ' 20'] : 000
CA: ['3', ' 195', ' 92', ' 65'] : 000
CA: ['3', ' 195', ' 163', ' 20'] : 000
CA: ['3', ' 195', ' 163', ' 65'] : 000
CA: ['3', ' 195', ' 172', ' 20'] : 000
CA: ['3', ' 195', ' 172', ' 65'] : 000
CA: ['3', ' 195', ' 197', ' 20'] : 000
CA: ['3', ' 195', ' 197', ' 65'] : 000
CA: ['3', ' 195', ' 202', ' 20'] : 000
CA: ['3', ' 195', ' 202', ' 65'] : 000
CA: ['3', ' 195', ' 54', ' 17'] : 000
CA: ['3', ' 195', ' 54', ' 68'] : 000
CA: ['3', ' 195', ' 57', ' 17'] : 000
CA: ['3', ' 195', ' 57', ' 68'] : 000
CA: ['3', ' 195', ' 99', ' 17'] : 000
CA: ['3', ' 195', ' 99', ' 68'] : 000
CA: ['3', ' 195', ' 108', ' 17'] : 000
CA: ['3', ' 195', ' 108', ' 68'] : 000
CA: ['3', ' 195', ' 147', ' 17'] : 000
CA: ['3', ' 195', ' 147', ' 68'] : 000
CA: ['3', ' 195', ' 156', ' 17'] : 000
CA: ['3', ' 195', ' 156', ' 68'] : 000
CA: ['3', ' 195', ' 198', ' 17'] : 000
CA: ['3', ' 195', ' 198', ' 68'] : 000
CA: ['3', ' 195', ' 201', ' 17'] : 000
CA: ['3', ' 195', ' 201', ' 68'] : 000
CA: ['3', ' 195', ' 86', ' 5'] : 000
CA: ['3', ' 195', ' 86', ' 80'] : 000
CA: ['3', ' 195', ' 89', ' 5'] : 000
CA: ['3', ' 195', ' 89', ' 80'] : 000
CA: ['3', ' 195', ' 101', ' 5'] : 000
CA: ['3', ' 195', ' 101', ' 80'] : 000
CA: ['3', ' 195', ' 106', ' 5'] : 000
CA: ['3', ' 195', ' 106', ' 80'] : 000
CA: ['3', ' 195', ' 149', ' 5'] : 000
CA: ['3', ' 195', ' 149', ' 80'] : 000
CA: ['3', ' 195', ' 154', ' 5'] : 000
CA: ['3', ' 195', ' 154', ' 80'] : 000
CA: ['3', ' 195', ' 166', ' 5'] : 000
CA: ['3', ' 195', ' 166', ' 80'] : 000
CA: ['3', ' 195', ' 169', ' 5'] : 000
CA: ['3', ' 195', ' 169', ' 80'] : 000
CA: ['3', ' 85', ' 15', ' 17'] : 000
CA: ['3', ' 85', ' 15', ' 20'] : 000
CA: ['3', ' 85', ' 15', ' 65'] : 000
CA: ['3', ' 85', ' 15', ' 68'] : 000
CA: ['3', ' 85', ' 30', ' 17'] : 000
CA: ['3', ' 85', ' 30', ' 20'] : 000
CA: ['3', ' 85', ' 30', ' 65'] : 000
CA: ['3', ' 85', ' 30', ' 68'] : 000
CA: ['3', ' 85', ' 45', ' 17'] : 000
CA: ['3', ' 85', ' 45', ' 20'] : 000
CA: ['3', ' 85', ' 45', ' 65'] : 000
CA: ['3', ' 85', ' 45', ' 68'] : 000
CA: ['3', ' 85', ' 60', ' 17'] : 000
CA: ['3', ' 85', ' 60', ' 20'] : 000
CA: ['3', ' 85', ' 60', ' 65'] : 000
CA: ['3', ' 85', ' 60', ' 68'] : 000
CA: ['3', ' 85', ' 75', ' 17'] : 000
CA: ['3', ' 85', ' 75', ' 20'] : 000
CA: ['3', ' 85', ' 75', ' 65'] : 000
CA: ['3', ' 85', ' 75', ' 68'] : 000
CA: ['3', ' 85', ' 90', ' 17'] : 000
CA: ['3', ' 85', ' 90', ' 20'] : 000
CA: ['3', ' 85', ' 90', ' 65'] : 000
CA: ['3', ' 85', ' 90', ' 68'] : 000
CA: ['3', ' 85', ' 105', ' 17'] : 000
CA: ['3', ' 85', ' 105', ' 20'] : 000
CA: ['3', ' 85', ' 105', ' 65'] : 000
CA: ['3', ' 85', ' 105', ' 68'] : 000
CA: ['3', ' 85', ' 120', ' 17'] : 000
CA: ['3', ' 85', ' 120', ' 20'] : 000
CA: ['3', ' 85', ' 120', ' 65'] : 000
CA: ['3', ' 85', ' 120', ' 68'] : 000
CA: ['3', ' 85', ' 135', ' 17'] : 000
CA: ['3', ' 85', ' 135', ' 20'] : 000
CA: ['3', ' 85', ' 135', ' 65'] : 000
CA: ['3', ' 85', ' 135', ' 68'] : 000
CA: ['3', ' 85', ' 150', ' 17'] : 000
CA: ['3', ' 85', ' 150', ' 20'] : 000
CA: ['3', ' 85', ' 150', ' 65'] : 000
CA: ['3', ' 85', ' 150', ' 68'] : 000
CA: ['3', ' 85', ' 165', ' 17'] : 000
CA: ['3', ' 85', ' 165', ' 20'] : 000
CA: ['3', ' 85', ' 165', ' 65'] : 000
CA: ['3', ' 85', ' 165', ' 68'] : 000
CA: ['3', ' 85', ' 180', ' 17'] : 000
CA: ['3', ' 85', ' 180', ' 20'] : 000
CA: ['3', ' 85', ' 180', ' 65'] : 000
CA: ['3', ' 85', ' 180', ' 68'] : 000
CA: ['3', ' 85', ' 195', ' 17'] : 000
CA: ['3', ' 85', ' 195', ' 20'] : 000
CA: ['3', ' 85', ' 195', ' 65'] : 000
CA: ['3', ' 85', ' 195', ' 68'] : 000
CA: ['3', ' 85', ' 210', ' 17'] : 000
CA: ['3', ' 85', ' 210', ' 20'] : 000
CA: ['3', ' 85', ' 210', ' 65'] : 000
CA: ['3', ' 85', ' 210', ' 68'] : 000
CA: ['3', ' 85', ' 225', ' 17'] : 000
CA: ['3', ' 85', ' 225', ' 20'] : 000
CA: ['3', ' 85', ' 225', ' 65'] : 000
CA: ['3', ' 85', ' 225', ' 68'] : 000
CA: ['3', ' 85', ' 240', ' 17'] : 000
CA: ['3', ' 85', ' 240', ' 20'] : 000
CA: ['3', ' 85', ' 240', ' 65'] : 000
CA: ['3', ' 85', ' 240', ' 68'] : 000
CA: ['3', ' 90', ' 15', ' 17'] : 000
CA: ['3', ' 90', ' 15', ' 20'] : 000
CA: ['3', ' 90', ' 15', ' 65'] : 000
CA: ['3', ' 90', ' 15', ' 68'] : 000
CA: ['3', ' 90', ' 30', ' 17'] : 000
CA: ['3', ' 90', ' 30', ' 20'] : 000
CA: ['3', ' 90', ' 30', ' 65'] : 000
CA: ['3', ' 90', ' 30', ' 68'] : 000
CA: ['3', ' 90', ' 45', ' 17'] : 000
CA: ['3', ' 90', ' 45', ' 20'] : 000
CA: ['3', ' 90', ' 45', ' 65'] : 000
CA: ['3', ' 90', ' 45', ' 68'] : 000
CA: ['3', ' 90', ' 60', ' 17'] : 000
CA: ['3', ' 90', ' 60', ' 20'] : 000
CA: ['3', ' 90', ' 60', ' 65'] : 000
CA: ['3', ' 90', ' 60', ' 68'] : 000
CA: ['3', ' 90', ' 75', ' 17'] : 000
CA: ['3', ' 90', ' 75', ' 20'] : 000
CA: ['3', ' 90', ' 75', ' 65'] : 000
CA: ['3', ' 90', ' 75', ' 68'] : 000
CA: ['3', ' 90', ' 90', ' 17'] : 000
CA: ['3', ' 90', ' 90', ' 20'] : 000
CA: ['3', ' 90', ' 90', ' 65'] : 000
CA: ['3', ' 90', ' 90', ' 68'] : 000
CA: ['3', ' 90', ' 105', ' 17'] : 000
CA: ['3', ' 90', ' 105', ' 20'] : 000
CA: ['3', ' 90', ' 105', ' 65'] : 000
CA: ['3', ' 90', ' 105', ' 68'] : 000
CA: ['3', ' 90', ' 120', ' 17'] : 000
CA: ['3', ' 90', ' 120', ' 20'] : 000
CA: ['3', ' 90', ' 120', ' 65'] : 000
CA: ['3', ' 90', ' 120', ' 68'] : 000
CA: ['3', ' 90', ' 135', ' 17'] : 000
CA: ['3', ' 90', ' 135', ' 20'] : 000
CA: ['3', ' 90', ' 135', ' 65'] : 000
CA: ['3', ' 90', ' 135', ' 68'] : 000
CA: ['3', ' 90', ' 150', ' 17'] : 000
CA: ['3', ' 90', ' 150', ' 20'] : 000
CA: ['3', ' 90', ' 150', ' 65'] : 000
CA: ['3', ' 90', ' 150', ' 68'] : 000
CA: ['3', ' 90', ' 165', ' 17'] : 000
CA: ['3', ' 90', ' 165', ' 20'] : 000
CA: ['3', ' 90', ' 165', ' 65'] : 000
CA: ['3', ' 90', ' 165', ' 68'] : 000
CA: ['3', ' 90', ' 180', ' 17'] : 000
CA: ['3', ' 90', ' 180', ' 20'] : 000
CA: ['3', ' 90', ' 180', ' 65'] : 000
CA: ['3', ' 90', ' 180', ' 68'] : 000
CA: ['3', ' 90', ' 195', ' 17'] : 000
CA: ['3', ' 90', ' 195', ' 20'] : 000
CA: ['3', ' 90', ' 195', ' 65'] : 000
CA: ['3', ' 90', ' 195', ' 68'] : 000
CA: ['3', ' 90', ' 210', ' 17'] : 000
CA: ['3', ' 90', ' 210', ' 20'] : 000
CA: ['3', ' 90', ' 210', ' 65'] : 000
CA: ['3', ' 90', ' 210', ' 68'] : 000
CA: ['3', ' 90', ' 225', ' 17'] : 000
CA: ['3', ' 90', ' 225', ' 20'] : 000
CA: ['3', ' 90', ' 225', ' 65'] : 000
CA: ['3', ' 90', ' 225', ' 68'] : 000
CA: ['3', ' 90', ' 240', ' 17'] : 000
CA: ['3', ' 90', ' 240', ' 20'] : 000
CA: ['3', ' 90', ' 240', ' 65'] : 000
CA: ['3', ' 90', ' 240', ' 68'] : 000
CA: ['3', ' 165', ' 15', ' 17'] : 000
CA: ['3', ' 165', ' 15', ' 20'] : 000
CA: ['3', ' 165', ' 15', ' 65'] : 000
CA: ['3', ' 165', ' 15', ' 68'] : 000
CA: ['3', ' 165', ' 30', ' 17'] : 000
CA: ['3', ' 165', ' 30', ' 20'] : 000
